entity_type,code,name,slug,url,region_code,province_code,category,is_active,sort_order,keywords
attraction,BAL-002,Ancient City of Balkh,ancient-city-of-balkh,/attractions/ancient-city-of-balkh,NORTH,BAL,Ancient Civilizations,1,9,Ancient City of Balkh BAL-002 BAL Ancient Civilizations
attraction,HER-003,Herat Friday Mosque,herat-friday-mosque-masjid-e-jami,/attractions/herat-friday-mosque-masjid-e-jami,WEST,HER,Spiritual & Religious,1,9,Herat Friday Mosque HER-003 HER Spiritual & Religious
attraction,KDR-004,Mosque of the Sacred Cloak,kharqa-sharif-mosque,/attractions/kharqa-sharif-mosque,SOUTH,KDR,Spiritual & Religious,1,9,Mosque of the Sacred Cloak KDR-004 KDR Spiritual & Religious
attraction,PRW-001,Salang Pass,salang-pass-and-tunnel,/attractions/salang-pass-and-tunnel,CENTRAL,PRW,Nature & Adventure,1,9,Salang Pass PRW-001 PRW Nature & Adventure
attraction,KDR-001,Tomb of Ahmad Shah Durrani,tomb-of-ahmad-shah-durrani,/attractions/tomb-of-ahmad-shah-durrani,SOUTH,KDR,Spiritual & Religious,1,9,Tomb of Ahmad Shah Durrani KDR-001 KDR Spiritual & Religious
attraction,BMY-004,Band-e-Amir National Park,band-e-amir-national-park,/attractions/band-e-amir-national-park,CENTRAL,BMY,Nature & Adventure,1,10,Band-e-Amir National Park BMY-004 BMY Nature & Adventure
attraction,BMY-001,Buddha Niches of Bamyan,buddha-niches-of-bamyan,/attractions/buddha-niches-of-bamyan,CENTRAL,BMY,Ancient Civilizations,1,10,Buddha Niches of Bamyan BMY-001 BMY Ancient Civilizations
attraction,HER-002,Herat Citadel,herat-citadel-qala-ye-ikhtiyaruddin,/attractions/herat-citadel-qala-ye-ikhtiyaruddin,WEST,HER,Landmarks,1,10,Herat Citadel HER-002 HER Landmarks
attraction,GHO-001,Minaret of Jam,minaret-e-jam-unesco,/attractions/minaret-e-jam-unesco,WEST,GHO,Landmarks,1,10,Minaret of Jam GHO-001 GHO Landmarks
attraction,BAL-001,Shrine of Hazrat Ali (Blue Mosque),shrine-of-hazrat-ali-blue-mosque,/attractions/shrine-of-hazrat-ali-blue-mosque,NORTH,BAL,Spiritual & Religious,1,10,Shrine of Hazrat Ali (Blue Mosque) BAL-001 BAL Spiritual & Religious
attraction,KBL-006,Wazir Akbar Khan Hill,wazir-akbar-khan-hill,/attractions/wazir-akbar-khan-hill,CENTRAL,KBL,Urban,1,10,Wazir Akbar Khan Hill KBL-006 KBL Urban
tour,BSKI,Bamyan Skiing Tour,bamyan-skiing-tour,/tours/bamyan-skiing-tour,,,Cultural / Scenic,1,-1,Bamyan Skiing Tour BSKI Cultural / Scenic Central Kabul;Bamyan;Parwan;Wardak
tour,KBLS,Kabul & Surroundings,kabul-surroundings,/tours/kabul-surroundings,,,Cultural / Scenic,1,-1,Kabul & Surroundings KBLS Cultural / Scenic Central Kabul;Parwan;Panjshir
tour,KTDE,Kandahar: The Durrani Empire,kandahar-durrani-empire-tour,/tours/kandahar-durrani-empire-tour,,,Cultural / Scenic,1,-1,Kandahar: The Durrani Empire KTDE Cultural / Scenic Central;South Kabul;Kandahar
tour,PVEH,Panjshir Valley: Emeralds & History,panjshir-valley-emeralds-history,/tours/panjshir-valley-emeralds-history,,,Cultural / Scenic,1,-1,Panjshir Valley: Emeralds & History PVEH Cultural / Scenic Central Kabul;Parwan;Panjshir
tour,TGHT,The Timurid Grandeur of Herat,timurid-grandeur-herat-tour,/tours/timurid-grandeur-herat-tour,,,Cultural / Scenic,1,-1,The Timurid Grandeur of Herat TGHT Cultural / Scenic West;Central Kabul;Herat
tour,WKND,Weekend in Kabul,weekend-in-kabul,/tours/weekend-in-kabul,,,Cultural / Scenic,1,-1,Weekend in Kabul WKND Cultural / Scenic Central Kabul
tour,ADTF,Afghanistan Discovery Tour Fall,afghanistan-discovery-tour-fall,/tours/afghanistan-discovery-tour-fall,,,Cultural / Scenic,1,0,Afghanistan Discovery Tour Fall ADTF Cultural / Scenic West;Central Kabul;Bamyan;Parwan;Wardak;Herat
tour,ADTS,Afghanistan Discovery Tour Spring,afghanistan-discovery-tour-spring,/tours/afghanistan-discovery-tour-spring,,,Cultural / Scenic,1,0,Afghanistan Discovery Tour Spring ADTS Cultural / Scenic West;Central Kabul;Bamyan;Parwan;Wardak;Herat
tour,BUZE,Buzkashi Expedition,buzkashi-expedition,/tours/buzkashi-expedition,,,Cultural / Scenic,1,0,Buzkashi Expedition BUZE Cultural / Scenic Central;North Kabul;Bamyan;Parwan;Wardak;Baghlan;Samangan;Balkh
tour,CAD,Central Afghanistan Discovery,central-afghanistan-discovery,/tours/central-afghanistan-discovery,,,Cultural / Scenic,1,0,Central Afghanistan Discovery CAD Cultural / Scenic Central Kabul;Bamyan;Parwan
tour,CTME,Custom Expedition,custom-expedition,/tours/custom-expedition,,,Custom,1,0,Custom Expedition CTME Custom West;Central;North;East;South Badakhshan;Badghis;Baghlan;Balkh;Bamyan;Daykundi;Farah;Faryab;Ghazni;Ghor;Helmand;Herat;Jowzjan;Kabul;Kandahar;Kapisa;Khost;Kunar;Kunduz;Laghman;Logar;Nangarhar;Nimroz;Nuristan;Paktia;Paktika;Panjshir;Parwan;Samangan;Sar-e-Pol;Takhar;Uruzgan;Wardak;Zabul
tour,PHOT,Photography Tour,photography-tour,/tours/photography-tour,,,Custom,1,0,Photography Tour PHOT Custom West;Central;North;East;South Badakhshan;Badghis;Baghlan;Balkh;Bamyan;Daykundi;Farah;Faryab;Ghazni;Ghor;Helmand;Herat;Jowzjan;Kabul;Kandahar;Kapisa;Khost;Kunar;Kunduz;Laghman;Logar;Nangarhar;Nimroz;Nuristan;Paktia;Paktika;Panjshir;Parwan;Samangan;Sar-e-Pol;Takhar;Uruzgan;Wardak;Zabul
tour,SCIE,Scientific Expeditions,scientific-expeditions,/tours/scientific-expeditions,,,Custom,1,0,Scientific Expeditions SCIE Custom West;Central;North;East;South Badakhshan;Badghis;Baghlan;Balkh;Bamyan;Daykundi;Farah;Faryab;Ghazni;Ghor;Helmand;Herat;Jowzjan;Kabul;Kandahar;Kapisa;Khost;Kunar;Kunduz;Laghman;Logar;Nangarhar;Nimroz;Nuristan;Paktia;Paktika;Panjshir;Parwan;Samangan;Sar-e-Pol;Takhar;Uruzgan;Wardak;Zabul
tour,SUMC,Summer Circuit,summer-circuit,/tours/summer-circuit,,,Cultural / Scenic,1,0,Summer Circuit SUMC Cultural / Scenic Central;North Kabul;Balkh;Bamyan;Parwan;Wardak;Samangan;Baghlan
tour,TGHT-EXT,The Timurid Grandeur of Herat — Additional Minaret-e-Jam,timurid-grandeur-herat-tour-add-minaret-e-jam,/tours/timurid-grandeur-herat-tour-add-minaret-e-jam,,,Cultural / Scenic,1,0,The Timurid Grandeur of Herat — Additional Minaret-e-Jam TGHT-EXT Cultural / Scenic West;Central Kabul;Herat;Ghor
tour,TSRA,Treasures of the Silk Road,treasures-of-silk-road-afghanistan,/tours/treasures-of-silk-road-afghanistan,,,Cultural / Scenic,1,0,Treasures of the Silk Road TSRA Cultural / Scenic West;Central;North Kabul;Balkh;Bamyan;Parwan;Wardak;Herat
tour,TTWC,Trekking the Wakhan Corridor,trek-the-wakhan-corridor,/tours/trek-the-wakhan-corridor,,,Custom,1,0,Trekking the Wakhan Corridor TTWC Custom Central;North Kabul;Balkh;Kunduz;Takhar;Badakhshan
tour,WNTC,Winter Circuit,winter-circuit,/tours/winter-circuit,,,Cultural / Scenic,1,0,Winter Circuit WNTC Cultural / Scenic Central Kabul;Bamyan;Parwan;Wardak;Samangan;Baghlan
